"""ID#""",Balance,Tier_Level,Miles_Per_Bonus_Transaction,Overall_Engagement_Score,Cluster
ID#,1704838,Gold_Tier,534,262,3
ID#,1302051,Gold_Tier,2832,102,3
ID#,1199220,Gold_Tier,200,199,3
ID#,1125076,Gold_Tier,1646,14,3
ID#,1113394,Gold_Tier,2341,116,3
ID#,969559,Gold_Tier,833,23,3
ID#,930410,Gold_Tier,11738,78,3
ID#,889456,Gold_Tier,3412,69,3
ID#,837979,Gold_Tier,1224,55,3
ID#,822321,Gold_Tier,5320,46,3
ID#,766419,Gold_Tier,3799,13,3
ID#,765738,Gold_Tier,4438,14,3
ID#,747983,Gold_Tier,1741,25,3
ID#,743745,Gold_Tier,205,200,3
ID#,739476,Gold_Tier,3026,18,3
ID#,737514,Gold_Tier,1099,110,3
ID#,714717,Gold_Tier,5958,60,3
ID#,707079,Gold_Tier,1429,160,3
ID#,704113,Gold_Tier,4266,23,3
ID#,644881,Gold_Tier,512,288,3
ID#,642756,Gold_Tier,2525,35,3
ID#,640169,Gold_Tier,2293,56,3
ID#,620498,Gold_Tier,479,193,3
ID#,619393,Gold_Tier,1072,14,3
ID#,609477,Gold_Tier,973,102,3
ID#,602064,Gold_Tier,7490,126,3
ID#,568174,Gold_Tier,4195,36,3
ID#,550367,Gold_Tier,961,23,3
ID#,533120,Gold_Tier,6721,18,3
ID#,529886,Gold_Tier,917,176,3
ID#,529477,Gold_Tier,1129,78,3
ID#,518960,Gold_Tier,1962,18,3
ID#,507506,Gold_Tier,3196,162,3
ID#,507371,Gold_Tier,2875,28,3
ID#,491987,Gold_Tier,2956,43,3
ID#,479989,Gold_Tier,2558,86,3
ID#,475338,Gold_Tier,1803,62,3
ID#,472241,Gold_Tier,300,122,3
ID#,468175,Gold_Tier,6437,22,3
ID#,463494,Gold_Tier,1611,27,3
ID#,459681,Gold_Tier,5619,17,3
ID#,456509,Gold_Tier,500,11,3
ID#,455228,Gold_Tier,129,22,3
ID#,451673,Gold_Tier,2291,59,3
ID#,451294,Gold_Tier,2086,32,3
ID#,449205,Gold_Tier,527,89,3
ID#,444159,Gold_Tier,0,0,3
ID#,443003,Gold_Tier,40,163,3
ID#,440265,Gold_Tier,1516,115,3
ID#,431824,Gold_Tier,1905,26,3
ID#,427528,Gold_Tier,2193,46,3
ID#,427357,Gold_Tier,502,12,3
ID#,423540,Gold_Tier,609,104,3
ID#,417875,Gold_Tier,2470,18,3
ID#,415070,Gold_Tier,3736,241,4
ID#,413509,Gold_Tier,2500,1,3
ID#,410795,Gold_Tier,2376,31,3
ID#,405499,Gold_Tier,1572,336,4
ID#,404142,Gold_Tier,5808,13,3
ID#,402874,Gold_Tier,4986,15,3
ID#,402312,Gold_Tier,4284,48,3
ID#,394999,Gold_Tier,830,35,3
ID#,391222,Gold_Tier,1373,90,3
ID#,388455,Gold_Tier,4397,106,3
ID#,386061,Gold_Tier,4492,24,3
ID#,385195,Gold_Tier,0,0,3
ID#,384470,Gold_Tier,1279,16,3
ID#,383129,Gold_Tier,1475,26,3
ID#,383030,Gold_Tier,320,175,4
ID#,382546,Gold_Tier,4018,94,3
ID#,380930,Gold_Tier,899,35,3
ID#,379744,Gold_Tier,1128,127,3
ID#,378759,Gold_Tier,3211,49,3
ID#,377252,Gold_Tier,7687,160,3
ID#,375927,Gold_Tier,606,60,3
ID#,374613,Gold_Tier,761,171,4
ID#,370941,Gold_Tier,2788,16,3
ID#,370596,Gold_Tier,4176,12,3
ID#,369816,Gold_Tier,1341,205,4
ID#,368535,Gold_Tier,6961,81,0
ID#,365918,Gold_Tier,3641,93,3
ID#,364387,Gold_Tier,1044,27,3
ID#,363165,Gold_Tier,540,91,3
ID#,362642,Gold_Tier,3509,8,3
ID#,355423,Gold_Tier,1025,30,3
ID#,355145,Gold_Tier,2135,109,3
ID#,354807,Gold_Tier,500,122,3
ID#,354641,Gold_Tier,2679,119,3
ID#,353678,Gold_Tier,5043,78,3
ID#,352508,Gold_Tier,3956,26,3
ID#,350608,Gold_Tier,1961,76,3
ID#,347096,Gold_Tier,2000,6,3
ID#,346178,Gold_Tier,3987,16,3
ID#,340874,Gold_Tier,1583,313,4
ID#,338656,Gold_Tier,3306,16,3
ID#,333500,Gold_Tier,3033,63,3
ID#,333346,Gold_Tier,1677,151,4
ID#,330644,Gold_Tier,0,0,1
ID#,329497,Gold_Tier,4772,12,0
ID#,327126,Gold_Tier,3919,55,3
ID#,326704,Gold_Tier,1968,19,1
ID#,326201,Gold_Tier,1382,14,1
ID#,323459,Gold_Tier,1500,38,1
ID#,323273,Gold_Tier,1800,15,1
ID#,322454,Gold_Tier,1938,33,1
ID#,320997,Gold_Tier,3427,24,1
ID#,319241,Gold_Tier,1996,36,1
ID#,315273,Gold_Tier,1398,49,1
ID#,312512,Gold_Tier,100,11,1
ID#,310226,Gold_Tier,2210,118,3
ID#,307260,Gold_Tier,1688,34,1
ID#,307149,Gold_Tier,3053,39,1
ID#,305519,Gold_Tier,2933,57,1
ID#,301447,Gold_Tier,3548,28,1
ID#,298927,Gold_Tier,2572,57,1
ID#,298911,Gold_Tier,777,91,1
ID#,298505,Gold_Tier,4082,52,0
ID#,298121,Gold_Tier,3040,30,1
ID#,297127,Gold_Tier,1713,16,1
ID#,295638,Gold_Tier,271,40,1
ID#,295008,Gold_Tier,5063,27,0
ID#,294881,Gold_Tier,4240,20,0
ID#,293648,Gold_Tier,1476,15,1
ID#,292533,Gold_Tier,4279,35,0
ID#,292023,Gold_Tier,1177,82,1
ID#,290012,Gold_Tier,3575,38,1
ID#,289351,Gold_Tier,4222,45,0
ID#,288865,Gold_Tier,1685,54,1
ID#,288379,Gold_Tier,1992,58,1
ID#,287033,Gold_Tier,451,588,4
ID#,286101,Gold_Tier,2353,141,4
ID#,285116,Gold_Tier,470,28,1
ID#,283670,Gold_Tier,1006,49,1
ID#,282971,Gold_Tier,361,46,1
ID#,282784,Gold_Tier,1136,87,1
ID#,281626,Gold_Tier,3345,16,1
ID#,280561,Gold_Tier,934,13,1
ID#,278727,Gold_Tier,1140,179,4
ID#,278457,Gold_Tier,2122,47,1
ID#,278437,Gold_Tier,1957,26,1
ID#,278258,Gold_Tier,1000,1,1
ID#,276607,Gold_Tier,816,124,4
ID#,276571,Gold_Tier,1828,23,1
ID#,273442,Gold_Tier,1560,105,1
ID#,269558,Gold_Tier,10000,1,0
ID#,268314,Gold_Tier,2140,24,1
ID#,268097,Gold_Tier,1077,25,1
ID#,267640,Gold_Tier,2000,3,1
ID#,267404,Gold_Tier,5170,111,0
ID#,266776,Gold_Tier,279,310,4
ID#,266200,Gold_Tier,5000,1,0
ID#,265532,Gold_Tier,357,13,1
ID#,264735,Gold_Tier,410,17,1
